taxa,PC1,PC2,PC3
T,-25.3163615593371,-1.57268016564635,-6.64679541171081
T,30.923556547757,-2.89579269070372,-4.07597839370713
T,27.0487746134555,-2.24638229775818,1.59293576657519
T,-20.1747437494,6.10384430918928,-3.33211765591821
T,-23.6320647322895,-21.4987973728696,0.370499976872176
T,22.3364284478261,-1.24401516955547,1.07176063027556
T,-18.6985404571797,10.8196289862255,-2.40934775911877
T,-21.9509384838241,6.3119296916577,-1.98768655172367
T,-24.63197447628,-9.59390397065046,-1.84550991247753
T,-25.3749759034703,-7.96048162692934,-2.20983494373455
C,-17.9310080918194,6.00193853721899,-1.51700374249164
T,28.6521131278792,-1.96141582834451,-6.3027190903139
T,31.0963031739551,-3.55409062255763,-5.1625819435897
T,29.6411989700598,-3.10982237213194,-6.17808803260161
T,30.4601504663697,-3.85478159964188,-6.12748421220992
T,27.9247430439982,-2.02999185305136,-5.54823564622068
T,26.958762753989,-2.31956090137084,-5.28645493406522
T,27.7349872409568,-2.37978590785363,-6.4219717220567
T,29.3967720079448,-3.24005472628776,-6.36336395737646
T,29.6486728490257,-2.9542559888045,-5.97593291860241
T,29.843171588214,-2.4997439018312,-5.70177474979907
T,30.746170745383,-3.36824582814738,-6.15038398583152
T,30.1959035828983,-2.95791770973708,-6.47792610843007
T,30.7561070492936,-3.02279754143852,-6.4807657134481
T,30.6426245779576,-5.60244844866057,-7.0582053578142
T,28.4206185542146,-4.45758076654688,-8.92996399429411
T,27.0553247354016,-4.13207938676712,-7.47448931770622
T,28.74499732766,-4.80812232123268,-8.72785829286509
T,28.7678084557761,-4.35369950306223,-8.19426552683162
T,29.6904338588125,-4.42272261954829,-7.20887299144154
T,29.0681811118362,-4.25833819396711,-8.09560176015981
T,28.7062220565323,-1.56572112533934,-5.66545383835529
T,28.9105546439973,-2.46099243624276,-7.43181853378336
T,27.8933764336072,-3.4304873821806,-6.79680577132891
T,27.7755485640599,-2.50795430817737,-7.678922764136
T,28.9049421918412,-2.87276992859506,-7.73769915726181
T,28.3705864435011,-2.87459260137825,-6.29024460691041
T,27.4407831221672,-3.02255597746789,-6.77216107380915
T,30.4678328459767,-5.5648901547086,-7.64873409149383
T,29.1224453400018,-5.83522422662422,-7.23877702604844
T,28.5053886240565,-4.96247244381069,-6.80764860135057
T,30.2374318279327,-5.44164136286469,-7.89835486298636
T,29.9363473775968,-5.39455001631429,-7.03258964070016
T,30.2701592358103,-4.87459739390592,-6.5925791877759
T,23.3526398494181,-2.24815168112636,-7.37811779931975
T,27.0109806239912,-3.71412742529901,-6.89547327276085
T,21.735776757553,-2.3642917061428,-7.39426362585024
T,27.2655690102076,-3.95448328808445,-5.90352915919724
T,27.1153902706402,-3.53795582243682,-6.3423812509698
T,27.6495850755364,-4.45101526563822,-7.4972739013689
T,25.5413410999739,-2.88377871491369,-7.48237899091618
T,20.885054353146,-2.27726972812042,-6.05371081634771
T,22.2256401282411,-3.08724987311636,-6.10271214348121
T,30.231946997398,-3.38126889143113,-7.20553799079531
T,30.1242792532772,-3.56748869427954,-6.97307061736061
T,30.4040875477326,-3.21461918994133,-7.11345686872267
T,30.88619732774,-3.57199744707571,-8.42362399110879
T,29.4267581836732,-3.54811964935397,-7.56189654755793
T,30.6466040463695,-3.18425198311132,-7.63390266331324
T,30.5582751637715,-3.99267842977041,-6.64598832249238
T,30.8426418911908,-3.80381317869406,-7.17317130534068
T,24.673220695125,-1.43899444417737,-7.0496561933091
T,24.7976873809515,-1.45132491971102,-7.24924736676704
T,25.3333024172628,-1.42026701741531,-7.50685967731158
T,30.8424926811767,-2.64301174176196,-8.34785132145973
T,31.1817905144668,-2.36685408034625,-8.28113169995717
T,30.8303743784226,-2.26015336238043,-8.23626254323223
T,27.8298114295374,-2.19921922039298,-7.10128013181416
T,28.8249062497065,-2.13568517866416,-7.63138337414066
T,28.4115277634814,-1.79160979899345,-7.6343798273355
T,28.6999279814687,-1.99528846950031,-7.77239580333902
T,28.0735723079843,-2.18278032476157,-7.33898357081962
T,27.5535687451546,-1.9133218482632,-7.25349109791659
T,30.7222651694105,-2.68327483567868,-6.061864646487
T,31.033547657789,-2.38538234534614,-6.13067732345389
T,31.1606242895402,-2.76561810498726,-7.16316633298533
T,30.4598763539743,-1.94611500941138,-6.45054647579099
T,29.3353470139918,-1.92754688303068,-7.88717206388186
T,29.472407965861,-1.93950749790579,-5.09768565586655
T,28.0338516118679,-1.66533794898,-5.58445466031986
T,27.1411166976787,-2.26002566116703,-6.25535849534649
T,28.0321946620718,-2.17623460566494,-6.11159328936764
T,28.5577508941832,-2.44925847195537,-7.09988690640455
T,29.644320855867,-1.53180471064208,-5.55084194014425
T,28.3331793195306,-2.33392394213509,-5.75468754511304
T,-24.5768042404212,-0.961835949342266,-3.71321638964519
T,-22.3422666539903,-2.56104723800514,-3.74186841157313
T,-21.5728520198401,-11.1657329937874,-2.06116397976629
T,-26.0986726921363,-8.37618634256699,-3.1973028360007
T,-26.1943711590908,-9.06688411947378,-2.24103824969416
T,-24.9637528570535,-12.9026557407397,-1.49659734172851
T,-25.5968035696064,-10.8508423419938,-1.34784126902415
T,-20.6227235549689,-9.48716744876396,-0.793727670344024
T,-21.4037377713723,-13.1063658628626,-1.236534952276
T,-23.8540486281973,-10.80575327066,-1.57481599756463
T,-23.8240875915147,-5.96258070279408,-4.96422236267193
T,-22.6654481214739,-13.4040573853463,1.08089739613595
T,-23.8195830261239,-8.24306431014903,-1.71974880447605
T,-23.725101976156,-14.8527176711597,-1.31380821306222
