taxa,PC1,PC2,PC3
T,-25.1254119921017,-1.31736039756379,-6.87666304434375
T,31.0938295247187,-2.57369855325485,-4.2006968861989
T,26.8298723238261,-2.23094894199516,1.51669360835507
T,-19.9392614253182,6.32849861447854,-3.59426961925232
T,-23.4891466737029,-21.1074811861919,0.109228492651231
T,22.2488604429517,-1.11691194979918,1.30107320594726
T,-18.5082854081569,11.0202303472966,-2.58344529225496
T,-21.7953350309229,6.48723156032168,-2.25490069244268
T,-24.5297746917273,-9.34686415860696,-2.06399612291907
T,-25.2385085587589,-7.65936848794224,-2.49824409280266
C,-17.8043294324265,6.25814970227246,-1.68064012646796
T,28.588372954814,-1.93902758270741,-6.25881081706119
T,31.0918909405698,-3.54077429845162,-5.14307249219292
T,29.61380982826,-3.1228892825552,-6.230688977174
T,30.4045518694119,-3.78398964590472,-6.12081649676678
T,27.9777115340487,-1.99753168785156,-5.52268599799134
T,26.939360554936,-2.29790216647407,-5.31183632808784
T,27.6796544761218,-2.36434583467962,-6.479410867013
T,29.5620178739336,-3.12555034440862,-6.51255351862721
T,29.6460744649632,-2.95327968684964,-5.90853723233695
T,29.7339628699164,-2.45314604516329,-5.73945496692624
T,30.679980846124,-3.35149159804415,-6.12216765827083
T,30.0559773232857,-2.84965165071854,-6.52729635646459
T,30.7169988745071,-3.01201478048027,-6.42621239084264
T,30.6244041668983,-5.61291742614108,-7.0075045782184
T,28.4063402639151,-4.4423016248034,-8.89062656777781
T,27.0681062669164,-4.18148208667025,-7.48501634290953
T,28.6927900935067,-4.83251468444721,-8.70908352412292
T,28.7595168868359,-4.36771437757536,-8.17499270985635
T,29.7076853546537,-4.42239347222737,-7.17170330549955
T,29.1079801227778,-4.22174003547377,-8.0766758201677
T,28.6923959407025,-1.57010732490835,-5.6333466396478
T,28.9632741388204,-2.41462978543647,-7.48506728880526
T,27.9293330946368,-3.39179353808639,-6.77183538128218
T,27.7493625489643,-2.54173665299339,-7.71079064314977
T,28.8543353623194,-2.87684848442824,-7.71076867313786
T,28.3524221535331,-2.88200685345892,-6.30480100827427
T,27.4748822521466,-2.97924200688137,-6.80498662797662
T,30.4726710157292,-5.59558003152982,-7.61156375948784
T,29.1504802594198,-5.82972765957509,-7.20401115848588
T,28.5093358001131,-4.9880263155889,-6.74278448424597
T,30.2223947373129,-5.44655384166658,-7.84617066803055
T,29.9661049286149,-5.40845440265697,-7.01401688401564
T,30.2795107780573,-4.91231268570433,-6.56269077290451
T,23.3238238623745,-2.24857072992145,-7.3089658749782
T,27.0204194449465,-3.72219926220227,-6.8233958720341
T,21.6867193192027,-2.34014249068866,-7.2780840331694
T,27.2746474247367,-3.97476913372976,-5.85611617036191
T,27.1173524734449,-3.55298522724957,-6.28035448058361
T,27.6376444380146,-4.46587275312057,-7.43783520285221
T,25.4670537935319,-2.87408312609129,-7.42901872832972
T,20.8280808117109,-2.23359869070487,-5.9408850506289
T,22.2258131064454,-3.0933173619752,-6.03830637406501
T,30.232194980093,-3.38082341719215,-7.18904801830607
T,30.0426078825397,-3.53274475683521,-6.96296597885797
T,30.405607680392,-3.19020919420538,-7.1306960890143
T,30.8738114072582,-3.56004555114099,-8.40280134847205
T,29.3967213657568,-3.39062453705092,-7.70106987236737
T,30.6514634345138,-3.19022974389526,-7.60318628582691
T,30.6215253361523,-3.91129234134183,-6.56893741972231
T,30.8814125091081,-3.75981563226689,-7.14537961697056
T,24.6422636522165,-1.44907037632746,-7.04058828672027
T,24.7724106009397,-1.43549671467822,-7.1997396374885
T,25.338253526005,-1.41263145134636,-7.44463573636508
T,30.8460871026826,-2.62112998410766,-8.33212811812996
T,31.1874770984776,-2.37114608785589,-8.25959976725035
T,30.8563478967967,-2.24841673551059,-8.21558538887369
T,27.9105743258431,-2.18179844241506,-7.07688140725004
T,28.833604533433,-2.17565297116861,-7.60831571550665
T,28.4163398158986,-1.79309610277033,-7.62213182903373
T,28.7048274731842,-2.02600464599137,-7.75103678054023
T,28.1006487010657,-2.20782007169213,-7.32406325752641
T,27.5599749462775,-1.92478347052909,-7.23034780057096
T,30.7802709661497,-2.6399048817699,-6.0595076000201
T,31.0572264814275,-2.40812998530079,-6.08720985020702
T,31.1239396283908,-2.73816510338718,-7.170586510346
T,30.47119303269,-1.94872869577065,-6.42247254293551
T,29.3605330420022,-1.91151381664947,-7.84023336155751
T,29.483171898673,-1.9852868538483,-5.03759759339462
T,28.0419681156842,-1.73122075667944,-5.53680216277831
T,27.1368391845198,-2.26170200654064,-6.23351440803894
T,28.0060739380293,-2.20327218762726,-6.12247431977324
T,28.562749097546,-2.47683317219136,-7.00332205163118
T,29.703416539018,-1.55347696214718,-5.51161470912878
T,28.3302626873648,-2.3889868532186,-5.7258956983644
T,-24.5292329214879,-0.984412703200361,-3.76842343792436
T,-22.3450563133975,-2.55061719156276,-3.80455608914595
T,-21.5611412721996,-11.2437102675583,-1.97943141420587
T,-26.1757166268929,-8.34252162681188,-3.14586675296123
T,-26.17286752496,-9.08359939682723,-2.17447697151983
T,-24.9529271410593,-12.8558896056022,-1.42282935142294
T,-25.6003712881099,-10.8548711438789,-1.26167387739837
T,-20.5914339747172,-9.57906706419776,-0.712569167033949
T,-21.3614498066211,-13.1901339473216,-1.25661237971728
T,-23.8419804062614,-10.8154138435026,-1.55540867649784
T,-23.813959085341,-5.91948774739959,-4.90291077470863
T,-22.5283960737553,-13.3647313863603,1.14796511157509
T,-23.8151486341864,-8.21580265304772,-1.68050403294486
T,-23.7333857848167,-14.8433847419686,-1.27968462766313
T,-23.760939474362,-13.274869227542,-2.01278556854144
T,-24.3470488951144,-14.8875262887806,-3.32966010984425
T,-24.6556656385507,-13.238683072538,-2.94025924544985
T,-23.1885297642634,-2.73810676712754,-3.39665842544923
T,-21.9277544069046,0.453267192328249,-7.44573581992734
T,-26.9650571660801,-7.57502985502144,-5.07681935756567
T,-27.6235402573112,-7.93054785957176,-5.64440572129728
T,-22.092535432995,-6.0555275042197,-1.84512047128207
T,-25.0434742851091,-18.3987366315639,-2.3004435953417
T,-26.5301897790876,-5.85487384464912,-7.7568125410053
T,-19.6864465587563,-16.6128620853474,1.25023448944867
T,-25.0088333320683,-3.17981180187218,-0.997673483207961
T,-24.7200193381337,-3.37675229880079,-1.94215510983196
T,-24.9731372428408,-8.85078296845891,-1.84574844758231
T,-23.9205417085235,-14.352190974446,-1.98976816190755
T,-25.7616538143874,-16.3973415669766,-1.54869725163649
C,-20.0861860188916,-12.9749676123737,2.2115307421027
T,-22.3920868148991,-2.92410829866562,-1.63492758240872
T,-22.1394284103812,-0.510262963370581,-3.4305432489366
T,-26.3362551553213,-3.65662592055329,-6.44269825316828
T,-23.8639103584673,-4.85021494156277,-4.95818407423585
T,-24.9860405174669,-9.30700019281618,-2.92363038436408
T,-24.4902047633427,-14.1321667454158,-1.10074999787861
T,-22.8066286374463,-15.146888870074,0.841193814254834
T,-24.4444320371321,-10.6756622935881,-1.38091119460517
T,-25.9234886177032,-10.6128635922248,-2.02396451794776
T,-19.1310029793931,-6.43134002068947,0.385818951733082
T,-19.6978741845453,-7.61595118285376,-3.593443715714
T,-23.3995393678577,-12.4713063869605,1.34146086916786
Y,-20.8063192990576,-4.27892502725031,-3.2084799310455
T,-21.8280841409415,-14.3433743925276,1.61720234148422
T,-26.5713585004701,-3.47055434780411,-5.90723957563021
T,-25.1620112827821,-11.5817947365957,-4.13327844123241
T,-24.5689475623356,-7.85374871137437,-1.23864391429609
T,-24.5605804034132,-0.106836520775107,-8.74257106620814
T,-25.2650833094848,-9.89272482190018,-5.05913683874914
T,-19.9178852301785,-0.97878790645962,-4.63022616326842
T,-24.7367227283929,-12.4221056875505,-3.57460230194483
T,-24.6549596066829,-9.26160992457567,-1.10465735394565
T,-23.2479261244396,-8.5745338787867,-0.281969490512871
T,-26.7809903893144,-12.1565688980511,-3.25048075817061
T,-26.3929715679551,-0.534429925700575,-5.23238594457659
T,-24.330282443625,-1.26346457861916,-3.55877710270559
T,-16.8783597574176,-6.2906123193995,-1.51353069089858
T,-23.7523818896486,-14.5734004846241,-0.210795906783905
T,-25.4551484810295,-16.9557185205146,-1.12521163793288
T,-25.2312138286941,-20.2466078604326,-0.691912108676974
C,-23.8311727805732,-15.2980972330308,-0.948316210869109
T,-20.4170855605642,-8.59508982938373,3.15651172577906
T,-21.763289269255,-8.71692204794993,-0.830339426429379
T,-14.6316608568201,-7.01746503254647,2.82677306746655
T,-17.4021655448154,-8.13789373925538,2.34482277929425
T,-17.148766630721,-7.64854918736894,1.47025614550768
C,-19.9834223906194,-8.78117767665496,1.04961456072636
T,-22.1939902254791,-14.853983744564,2.56295984689158
T,-22.1128544125119,-10.3018632595075,1.22836156576703
T,-18.8290237654752,-7.6675474058634,1.25183949363052
T,-24.4234200033608,-4.05802724413235,-4.48603424288585
T,-22.2744011971129,-3.88338416336243,-3.80636934735095
T,-19.7982212581685,-15.5883274705016,2.32927596953416
T,-26.097888979322,-11.3892687468797,-4.43554389118543
T,-25.5507215879567,-11.1915389582439,-5.45139797171579
T,-26.0958499278386,-10.0146727390346,-6.74611848775403
T,-24.3907864080568,-11.0008239522293,-1.05914364357665
T,-25.0233110380672,-3.92591553845195,-6.53384855293509
T,-25.4939275064718,-17.5043616535462,-1.78912147088752
T,-18.4336156481547,-5.83032060673502,0.00241579327589032
T,-21.2643100148958,-12.4344897270664,-0.499220809354934
T,-19.220175481527,-8.64659954883024,0.852708500674285
T,-17.8461653452994,-5.26350822390668,2.098423467829
T,-17.863593290094,-7.69901897608923,-0.134434485096645
T,-20.3321115016696,-7.43667647821056,-0.852428624698823
T,-17.8148348895813,-11.3625550255842,1.5391478395987
T,-18.9766302270378,-10.6089089021736,0.361372904882622
T,-17.5129954563208,-5.65457210188332,2.50816636641274
T,-16.7090880463188,-10.6934654118157,2.75646611862117
T,-17.9900430666529,-11.8234791799138,1.6230888210405
T,-22.7973947654285,-11.8851512188126,0.00681850613416021
T,-23.6736260159436,-10.4877539140368,0.13868775751257
T,-23.7439944594033,-14.9745585521162,-2.16479258950671
T,-24.5834768552433,-1.37985949561556,-3.81177561475905
T,-24.9285350622809,0.409939654339493,-4.61657051329836
T,-19.6807430835964,-13.6403906396224,3.07880551814665
